No,Year,Month,Day,Lat,Lon,SST(boat),spe1,spe2,spe3,spe4,spe5,spe6,spe7,spe8,spe9,spe10,spe11,Tonnage A,HP A,Light A
15400,2009,2,6,25.14,121.82,,6,,,,,,,,,,,2,1,1
15406,2009,2,21,25.18,121.78,,6,,,,,,,,,,,2,1,1
15409,2009,2,23,25.14,121.82,,60,,,,,,,,,,,2,1,1
15412,2009,2,23,26.33,122.83,21,180,,,,,,,,,,,4,3,3
15413,2009,2,24,25.14,121.82,,18,,,,,,,,,,,2,1,1
15416,2009,2,24,26.33,122.88,21,300,,,,,,,,,,,4,3,3
15418,2009,2,25,25.14,121.84,,120,,,,,,,,,,,2,1,1
15421,2009,2,25,26.33,122.88,21,30,,,,,,,,,,,4,3,3
15425,2009,2,26,26.75,123.87,17,12,,,,,,,,,,,4,3,3
15426,2009,2,27,26.87,123.87,17,18,,,,,,,,,,,4,3,3
15428,2009,2,28,26.33,122.85,21,360,,,,,,,,,,,4,3,3
15429,2009,2,28,26.75,123.75,17,18,,,,,,,,,,,4,3,3
15430,2009,3,1,26.32,122.87,21,420,,,,,,,,,,,4,3,3
15433,2009,3,2,26.35,122.88,21,360,,,,,,,,,,,4,3,3
15435,2009,3,3,26.33,122.92,21,600,,,,,,,,,,,4,3,3
15439,2009,3,4,26.37,122.92,21,720,,,,,,,,,,,4,3,3
15443,2009,3,5,26.33,122.83,21,480,,,,,,,,,,,4,3,3
15444,2009,3,6,26.35,122.85,21,540,,,,,,,,,,,4,3,3
15446,2009,3,7,26.33,122.87,21,420,,,,,,,,,,,4,3,3
15449,2009,3,8,26.32,122.83,21,300,,,,,,,,,,,4,3,3
15452,2009,3,9,26.32,122.87,21,240,,,,,,,,,,,4,3,3
15456,2009,3,10,26.33,122.85,21,60,,,,,,,,,,,4,3,3
15461,2009,3,13,25.5,122.1,,66,,,,,,,,,,,2,1,1
15463,2009,3,14,25.5,122.1,,52.8,,,,,,,,,,,2,1,1
15466,2009,3,15,25.5,122.1,,54,,,,,,,,,,,2,1,1
15473,2009,3,18,25.06,121.94,,60,,,,,,,,,,,2,1,1
15476,2009,3,19,25.06,121.94,,51.6,,,,,,,,,,,2,1,1
15480,2009,3,20,25.06,121.94,,36,,,,,,,,,,,2,1,1
15482,2009,3,20,25.5,122.1,,27,,,,,,,,,,,2,1,1
15484,2009,3,20,26.63,123.65,20,120,,,120,,,,,,,,5,4,4
15485,2009,3,21,25.58,121.7,,180,,,,,,,,,,,2,1,1
15486,2009,3,21,25.18,121.77,,54,,,,,,,,,,,2,1,2
15487,2009,3,21,25.07,121.97,,48,,,,,,,,,,,3,1,1
15490,2009,3,21,26.67,123.7,21,180,,,60,,,,,,,,5,4,4
15491,2009,3,22,25.16,121.8,,6,,,,,,,,,,,2,1,1
15493,2009,3,22,26.83,123.87,21,240,,,,,,,,,,,5,4,4
15494,2009,3,23,25.16,121.78,,36,,,,,,,,,,,2,1,1
15496,2009,3,23,26.77,123.8,22,360,,,,,,,,,,,5,4,4
15498,2009,3,24,25.18,121.82,,48,,,,,,,,,,,2,1,1
15499,2009,3,24,25.06,121.94,,1.8,,,,,,,,,,,2,1,2
15500,2009,3,24,25.05,121.95,,120,,,,,,,,,,,2,1,1
15502,2009,3,24,26.58,123.7,22,720,,,12,,,,,,,,5,4,4
15503,2009,3,25,25.18,121.86,,180,,,,,,,,,,,2,1,1
15504,2009,3,25,26.55,123.63,21,120,,,,,,,,,,,5,4,4
15506,2009,3,26,25.45,121.86,21.6,60,10,,50,,,,,,,,4,2,3
15507,2009,3,26,25.14,121.86,,96,,,,,,,,,,,2,1,1
15508,2009,3,26,25.06,121.94,,120,,,,,,,,,,,2,1,2
15509,2009,3,26,25.05,121.95,,150,,,,,,,,,,,2,1,1
15510,2009,3,26,25.03,121.95,,75,,,,,,,,,,,2,1,1
15511,2009,3,26,25.07,121.97,,48,,,,,,,,,,,3,1,1
15513,2009,3,26,26.35,122.83,20,180,,,,,,,,,,,4,3,3
15514,2009,3,26,26.52,123.65,22,0,,,,,,,,,,,5,4,4
15515,2009,3,26,26.5,124.42,23.6,240,,,,,,,,,,,4,2,3
15516,2009,3,27,25.18,121.86,,6,,,,,,,,,,,2,1,1
15517,2009,3,27,25.51,121.87,20.9,120,10,,,,,,,,,,4,2,3
15518,2009,3,27,25.08,121.93,,15,,,,,,,,,,,2,1,1
15519,2009,3,27,25.06,121.94,,3.6,,,,,,,,,,,2,1,2
15520,2009,3,27,25.07,121.97,,6,,,,,,,,,,,3,1,1
15522,2009,3,27,26.48,122.87,19.1,360,5,,18,,,,,,,,3,2,2
15523,2009,3,27,26.7,123.77,20,30,,,6,,,,,,,,5,4,4
15524,2009,3,27,26.92,123.88,20,600,,,,,,,,,,,4,3,3
15525,2009,3,27,26.58,123.92,23.3,60,,,,,,,,,,,4,4,4
15526,2009,3,27,26.42,124.5,23.5,120,,,,,,,,,,,4,2,3
15527,2009,3,28,25.48,121.92,20.4,60,20,,,,,,,,,,4,2,3
15528,2009,3,28,26.47,122.8,17.3,150,,,12,,,,,,,,3,2,2
15529,2009,3,28,26.5,123.6,19,0,,,,,,,,,,,5,4,4
15530,2009,3,28,26.92,123.87,20,420,,,,,,,,,,,4,3,3
15531,2009,3,28,26.5,123.87,22.5,60,,,,,,,,,,,4,4,4
15532,2009,3,28,26.33,124.33,23.2,24,,,,,,,,,,,4,2,3
15533,2009,3,28,26.38,124.42,19,450,,,,,,,,,,,4,3,3
15534,2009,3,29,26.5,122.83,17.9,60,1,,6,,,,,,,,3,2,2
15535,2009,3,29,26.47,123.67,20,0,,,,,,,,,,,5,4,4
15536,2009,3,29,26.45,123.83,21.7,,,,,,,,,,,,4,4,4
15537,2009,3,29,26.92,123.85,20,180,,,,,,,,,,,4,3,3
15538,2009,3,29,26.3,124.37,23.6,,,,,,,,,,,,4,2,3
15539,2009,3,29,26.4,124.62,19,200,,,,,,,,,,,4,3,3
15541,2009,3,30,26.52,122.88,18.1,210,,,9,,,,,,,,3,2,2
15542,2009,3,30,26.45,123.6,19,12,,,,,,,,,,,5,4,4
15543,2009,3,30,26.5,123.87,21,,,,,,,,,,,,4,4,4
15544,2009,3,30,26.67,124.13,18,100,,,,,,,,,,,4,3,3
15545,2009,3,30,26.25,124.25,23.1,12,,,,,,,,,,,4,2,3
15547,2009,3,31,26.53,122.82,18.8,1.2,1,,18,,,,,,,,3,2,2
15548,2009,3,31,26.47,123.5,20,6,,,,,,,,,,,5,4,4
15549,2009,3,31,26.3,123.67,23.8,240,,,,,,,,,,,4,2,3
15550,2009,3,31,26.32,123.87,21,,,,,,,,,,,,4,4,4
15551,2009,3,31,26.27,123.93,18,200,200,,,,,,,,,,4,3,3
15552,2009,4,1,25.58,121.76,23.5,90,,,24,,350,,,,,,3,2,1
15553,2009,4,1,26.38,122.9,19.7,60,,,30,,,,,,,,3,2,2
15554,2009,4,1,26.88,123.58,21,420,,,,,,,,,,,4,3,3
15555,2009,4,1,26.5,123.7,20,12,,,12,,,,,,,,5,4,4
15556,2009,4,1,26.33,123.72,23.8,12,,,,,,,,,,,4,2,3
15557,2009,4,1,26.32,123.9,18,200,,,,,,,,,,,4,3,3
15558,2009,4,1,26.15,123.98,24.5,30,,,,,,,,,,,4,4,4
15559,2009,4,2,25.4,121.9,24,42,,,6,,1200,,,,,,3,2,1
15561,2009,4,2,26.45,123.03,20.9,300,,,3,,,,,,,,3,2,2
15562,2009,4,2,26.42,123.28,23.8,150,,,,,,,,,,,4,2,3
15563,2009,4,2,26.22,123.47,26,600,,,,,,,,,,,4,4,4
15564,2009,4,2,26.87,123.63,21,600,,,,,,,,,,,4,3,3
15566,2009,4,2,26.47,123.83,21,600,,,,,,,,,,,5,4,4
15567,2009,4,3,25.59,121.75,25.1,36,,,,,120,,,,,,3,2,1
15569,2009,4,3,25.58,121.82,21,90,,,,,,,,,,,4,2,3
15570,2009,4,3,25.14,121.82,,7.8,,,,,,,,,,,2,1,1
15572,2009,4,3,25.63,122.08,,4.8,,,,,,,,,,,2,1,2
15573,2009,4,3,26.33,123,22.9,420,,,2,,45,,,,,,3,2,2
15574,2009,4,3,26.5,123.17,23.8,150,,,,,1000,,,,,,4,2,3
15575,2009,4,3,26.28,123.35,22,200,,,,,,,,,,,4,3,3
15576,2009,4,3,26.3,123.38,22,360,,,6,,,,,,,,5,4,4
15577,2009,4,3,26.23,123.55,26.2,810,,,,,,,,,,,4,4,4
15578,2009,4,3,26.8,123.63,21,1500,,,,,,,,,,,4,3,3
15579,2009,4,4,25.4,121.87,21.6,120,,,20,,,,,,,,4,2,3
15580,2009,4,4,25.5,121.88,24.6,108,,,36,,,,,,,,3,2,1
15582,2009,4,4,26.33,123,22.9,210,,,10,,25,,,,,,3,2,2
15583,2009,4,4,26.55,123.08,23.8,90,,,,,,,,,,,4,2,3
15584,2009,4,4,26.5,123.5,22,100,,,,,500,,,,,,4,3,3
15585,2009,4,4,26.23,123.62,26.6,210,,,,,,,,,,,4,4,4
15586,2009,4,4,26.8,123.63,21,1380,,,,,,,,,,,4,3,3
15587,2009,4,5,25.47,121.87,24.7,210,,,12,,80,,,,,,3,2,1
15588,2009,4,5,26.52,123.23,24,270,,,,,,,,,,,4,2,3
15589,2009,4,5,26.47,123.58,21,300,,,,,,,,,,,4,3,3
15590,2009,4,5,26.8,123.63,21,720,,,,,,,,,,,4,3,3
15591,2009,4,6,25.64,121.86,20,72,300,,50,,,,,,,,4,2,3
15592,2009,4,6,25.05,121.97,,,,,,,,,36,,,,2,1,1
15593,2009,4,6,26.5,123.37,24.3,192,,,,,,,,,,,4,2,3
15594,2009,4,6,26.8,123.6,21,600,,,,,,,,,,,4,3,3
15595,2009,4,6,26.48,123.67,21,400,100,,,,,,,,,,4,3,3
15597,2009,4,7,25.14,121.82,,6,,,,,,,,,,,2,1,1
15598,2009,4,7,25.05,121.97,,,,,,,,,21.6,,,,2,1,1
15599,2009,4,7,25.88,122.46,21.6,240,,,,,,,,,,,4,2,3
15600,2009,4,7,26.8,123.6,21,480,,,,,,,,,,,4,3,3
15601,2009,4,7,26.5,123.75,21,300,,,,,,,,,,,4,3,3
15602,2009,4,8,25.05,121.97,,72,,,,,,,36,,,,2,1,1
15603,2009,4,8,25.97,122.46,22,300,,,,,720,,,,,,4,2,3
15604,2009,4,8,26.8,123.62,21,360,,,,,,,,,,,4,3,3
15605,2009,4,9,25.48,122.12,,,,,,,,,,,,,2,1,1
15606,2009,4,9,25.92,122.48,20,60,60,,,,,,,,,,4,2,3
15607,2009,4,9,26.6,123.75,23,240,,,,,,,,,,,4,3,3
15608,2009,4,10,25.93,122.44,21.3,210,,,20,,,,,,,,4,2,3
15609,2009,4,10,26.32,122.87,23,6,,,,,,,,,,,4,3,3
15610,2009,4,11,25.87,122.43,20.9,180,,,,,,,,,,,4,2,3
15612,2009,4,13,24.95,121.97,,,,,,,,,,,,,2,1,1
15613,2009,4,15,25.58,121.78,,108,,,,,,,,,,,2,1,1
15614,2009,4,15,25.53,121.8,21.1,24,,,,,,,,,,,3,1,2
15615,2009,4,15,25.48,121.88,24.6,168,,,21,,,,,,,,3,2,1
15616,2009,4,15,25.63,122.08,,2.1,,,,,,,,,,,2,1,2
15617,2009,4,15,26.35,123.13,19,300,,,,,,,,,,,4,3,3
15618,2009,4,15,26.33,123.48,19,40,,,,,,,,,,,4,2,3
15619,2009,4,16,25.5,121.73,22.3,3.6,,,,,,,,,,,3,1,2
15620,2009,4,16,25.54,121.74,,120,,,,,,,,,,,2,1,1
15621,2009,4,16,25.57,121.79,20.6,72,,,,,,,,,,,3,2,2
15623,2009,4,16,25.48,121.9,25,192,,,30,,,,,,,,3,2,1
15624,2009,4,16,26.5,123.13,21.8,126,,,,,,,,,,,4,2,3
15625,2009,4,16,26.45,123.16,21.6,300,,,,,,,,,,,4,2,3
15626,2009,4,16,26.43,123.35,21,360,,,,,,,,,,,4,3,3
15627,2009,4,16,26.3,123.45,23,30,,,,,,,,,,,5,4,4
15628,2009,4,16,26.63,123.7,20,100,,,,,,,,,,,4,2,3
15629,2009,4,17,25.6,121.86,20.1,270,,,,,,,,,,,3,2,2
15630,2009,4,17,25.58,121.86,25.2,120,,,42,,,,,,,,3,2,1
15631,2009,4,17,26.32,123.08,23.6,6,,,,,,,,,,,3,2,2
15632,2009,4,17,26.5,123.17,25.1,180,,,,,,,,,,,3,2,2
15633,2009,4,17,26.42,123.29,24.8,60,,,,,,,,,,,4,2,3
15634,2009,4,17,26.52,123.3,21,120,150,,,,,,,,,,4,3,3
15635,2009,4,17,26.3,123.37,26.5,9.6,,,,,,,,,,,4,4,4
15636,2009,4,17,26.33,123.77,25.3,108,,,,,,,,,,,4,2,3
15637,2009,4,17,26.32,123.82,23,12,,,,,,,,,,,5,4,4
15638,2009,4,17,26.83,123.83,20,200,,,,,,,,,,,4,2,3
15639,2009,4,18,25.66,121.7,,60,,,,,,,,,,,2,1,1
15641,2009,4,18,25.53,121.88,26.2,102,,,9,,,,,,,,3,2,1
15642,2009,4,18,25.48,122.12,,27,,,,,,,,,,,2,1,1
15643,2009,4,18,26.77,123.23,22.7,90,,,,,,,,,,,4,4,4
15644,2009,4,18,26.67,123.25,25.5,120,,,,,,,,,,,3,2,2
15645,2009,4,18,26.45,123.32,23,6,,,,,,,,,,,5,4,4
15646,2009,4,18,26.57,123.34,23.6,30,,,5,,,,,,,,4,2,3
15647,2009,4,18,26.55,123.35,22.6,180,,,,,,,,,,,5,4,3
15648,2009,4,18,26.58,123.4,21,120,,,,,,,,,,,4,3,3
15649,2009,4,18,26.47,123.5,23.4,54,,,,,3,,,,,,3,2,2
15650,2009,4,18,26.43,124.08,22.5,192,,,,,,,,,,,4,2,3
15651,2009,4,18,26.67,124.17,19,60,,,,,,,,,,,4,2,3
15652,2009,4,19,25.61,121.87,22.6,30,,,,,,,,,,,3,2,2
15653,2009,4,19,25.05,121.97,,,,,,,,,,,,,2,1,1
15654,2009,4,19,25.48,122.12,,36,,,,,,,,,,,2,1,1
15655,2009,4,19,26.8,123.4,20.3,66,,,,,,,,,,,3,2,2
15656,2009,4,19,26.67,123.46,22.8,300,,,,,,,,,,,5,4,3
15657,2009,4,19,26.75,123.5,26.1,60,,,,,,,,,,,3,2,2
15658,2009,4,19,26.76,123.57,21.8,240,,,,,,,,,,,4,2,3
15659,2009,4,19,26.73,123.8,19,300,,,,,,,,,,,4,3,3
15660,2009,4,19,27.08,124.22,24,90,,,,,,,,,,,5,4,4
15661,2009,4,19,26.52,124.23,22.5,180,,,,,,,,,,,4,2,3
15662,2009,4,19,26.93,124.3,19,120,,,,,,,,,,,4,2,3
15663,2009,4,19,27.02,124.55,22.3,,,,,,,,,,,,4,4,4
15665,2009,4,20,25.55,121.82,24.8,156,,,18,,200,,,,,,3,2,1
15666,2009,4,20,25.48,122.12,,22.8,,,,,,,,,,,2,1,1
15667,2009,4,20,26.22,123.27,24.8,,,,,,,,,,,,4,4,4
15668,2009,4,20,26.83,123.5,26.3,150,,,,,,,,,,,3,2,2
15669,2009,4,20,26.88,123.53,20.9,1260,1,,1,,,,,,,,3,2,2
15670,2009,4,20,26.84,123.62,22.4,1800,,,,,,,,,,,5,4,3
15671,2009,4,20,26.5,123.63,20,150,,,,,,,,,,,4,2,3
15672,2009,4,20,27,123.65,21.2,120,,,,,,,,,,,4,2,3
15673,2009,4,20,26.32,124.2,22,120,100,,,,,,,,,,4,3,3
15674,2009,4,20,26.53,124.23,22.5,270,,,,,,,,,,,4,2,3
15675,2009,4,20,27.05,124.25,23,120,,,,,,,,,,,5,4,4
15676,2009,4,21,25.32,121.73,22.1,24,,,,,,,,,,,3,1,2
15677,2009,4,21,25.18,121.77,,46.2,,,,,,,,,,,2,1,2
15678,2009,4,21,25.56,121.83,25,108,,,48,,,,,,,,3,2,1
15679,2009,4,21,25.07,121.97,,18,,,,,,,,,,,3,1,1
15680,2009,4,21,26.97,123.47,22.5,120,,,,,,,,,,,4,2,3
15681,2009,4,21,26.5,123.5,21,90,100,,,,300,,,,,,4,3,3
15682,2009,4,21,26.85,123.52,21.1,510,,,,,,,,,,,3,2,2
15683,2009,4,21,26.82,123.58,21.5,900,,,,,,,,,,,5,4,3
15684,2009,4,21,26.91,123.73,21,90,,,,,,,,,,,4,2,3
15685,2009,4,21,26.65,123.8,20,250,,,,,,,,,,,4,2,3
15686,2009,4,21,27.02,124.17,26.5,270,,,,,,,,,,,3,2,2
15687,2009,4,21,27.5,124.87,23,2100,,,,,,,,,,,5,4,4
15689,2009,4,22,25.18,121.82,22.4,30,,,,,,,,,,,3,1,2
15690,2009,4,22,25.49,121.89,26.1,288,,,27,,,,,,,,3,2,1
15691,2009,4,22,25.48,122.12,,,,,,,,,48,,,,2,1,1
15692,2009,4,22,26.83,122.75,20,400,,,,,,,,,,,4,2,3
15693,2009,4,22,26.62,123.37,20.8,210,,,,,,,,,,,3,2,2
15694,2009,4,22,26.97,123.5,22.5,210,,,,,,,,,,,4,2,3
15695,2009,4,22,26.53,123.53,,1260,,,,,,,,,,,4,4,4
15696,2009,4,22,26.76,123.54,20.2,720,,,,,,,,,,,5,4,3
15697,2009,4,22,26.87,123.63,21.3,300,,,,,,,,,,,3,2,2
15698,2009,4,22,26.88,123.83,20.9,60,20,,,,,,,,,,4,2,3
15699,2009,4,22,26.83,123.85,19,420,,,,,,,,,,,4,3,3
15700,2009,4,22,27.17,124.17,26.7,360,,,,,,,,,,,3,2,2
15701,2009,4,22,27.53,124.95,22,480,,,,,,,,,,,5,4,4
15702,2009,4,23,25.62,121.7,,30,,,,,,,,,,,2,1,1
15703,2009,4,23,25.52,121.85,21.9,36,,,,,,,,,,,3,1,2
15704,2009,4,23,25.55,121.88,26,132,,,36,,,,,,,,3,2,1
15705,2009,4,23,25.48,122.12,,,,,,,,,39,,,,2,1,1
15706,2009,4,23,26.87,122.77,19,450,,,,,,,,,,,4,2,3
15707,2009,4,23,28,123.45,22.5,240,,,,,,,,,,,4,2,3
15708,2009,4,23,26.52,123.45,,180,,,,,,,,,,,4,4,4
15709,2009,4,23,26.78,123.58,21.5,420,,,,,,,,,,,5,4,3
15710,2009,4,23,26.87,123.58,20.8,1140,,,,,,,,,,,3,2,2
15711,2009,4,23,26.92,123.71,19.7,480,,,,,,,,,,,3,2,2
15712,2009,4,23,26.73,123.92,19,360,200,,,,,,,,,,4,3,3
15713,2009,4,23,27.2,124.17,26.7,270,,,,,,,,,,,3,2,2
15714,2009,4,23,27.59,124.71,21.1,,30,,3,,,,,,,,4,2,3
15715,2009,4,23,27.6,124.83,22,600,,,,,,,,,,,5,4,4
15716,2009,4,24,25.7,121.7,,78,,,,,,,,,,,2,1,1
15717,2009,4,24,25.3,121.85,23.1,,,,,,,,,,,,3,1,2
15718,2009,4,24,25.07,121.97,,9,,,,,,,,,,,3,1,1
15719,2009,4,24,25.48,122.12,,,,,,,,,33,,,,2,1,1
15720,2009,4,24,26.88,122.83,19,600,,,,,,,,,,,4,2,3
15721,2009,4,24,27.08,123.5,22.2,18,,,,,,,,,,,4,2,3
15722,2009,4,24,26.52,123.55,,600,,,,,,,,,,,4,4,4
15723,2009,4,24,26.74,123.55,21.8,1140,,,,,,,,,,,5,4,3
15724,2009,4,24,26.92,123.6,20.9,210,,,,,,,,,,,3,2,2
15725,2009,4,24,26.9,123.91,21.6,240,,,,,,,,,,,3,2,2
15726,2009,4,24,26.87,123.97,22.9,150,300,,,,50,,,,,,4,2,3
15727,2009,4,24,26.73,124.05,19,120,,,,,,,,,,,4,3,3
15728,2009,4,24,27.25,124.33,26.1,180,,,,,,,,,,,3,2,2
15729,2009,4,24,27.7,124.98,22,120,,,,,,,,,,,5,4,4
15730,2009,4,25,25.16,121.78,,0,,,,,,,180,,,,2,1,1
15732,2009,4,25,25.56,121.82,26,240,,,30,,,,,,,,3,2,1
15733,2009,4,25,25.05,121.97,,,,,,,,,,,,,2,1,1
15734,2009,4,25,26.92,122.85,19,150,,,,,,,,,,,4,2,3
15735,2009,4,25,26.67,123.17,25.8,270,,,,,,,,,,,3,2,2
15736,2009,4,25,26.7,123.25,21.5,24,,,,,,,,,,,4,2,3
15737,2009,4,25,26.76,123.57,20.9,360,,,,,,,,,,,5,4,3
15738,2009,4,25,26.63,123.58,20,,,,,,,,,,,,5,4,4
15739,2009,4,25,26.32,123.63,,,,,,,,,,,,,4,4,4
15740,2009,4,25,26.82,123.79,20.3,300,,,,,,,,,,,4,2,3
15741,2009,4,25,26.8,123.92,18,120,200,,,,,,,,,,4,3,3
15742,2009,4,25,26.76,124.12,19.3,540,,,,,,,,,,,3,2,2
15743,2009,4,26,25.16,121.78,,0,,,,,,,90,,,,2,1,1
15744,2009,4,26,25.5,121.89,25.2,102,,,72,,,,,,,,3,2,1
15745,2009,4,26,25.47,121.93,21.8,24,,,,,,,,,,,3,1,2
15746,2009,4,26,25.05,121.97,,,,,,,,,,,,,2,1,1
15747,2009,4,26,25.48,122.12,,,,,,,,,24,,,,2,1,1
15748,2009,4,26,26.65,122.67,20,65,,,,,,,,,,,4,2,3
15749,2009,4,26,26.33,122.83,25.1,90,,,,,,,,,,,3,2,2
15750,2009,4,26,26.6,123.52,21,60,,,,,,,,,,,5,4,4
15751,2009,4,26,26.57,123.63,,840,,,,,,,,,,,4,4,4
15752,2009,4,26,26.71,123.64,21.3,900,,,,,,,,,,,5,4,3
15753,2009,4,26,26.79,123.72,20.3,360,3,,,,,,,,,,4,2,3
15754,2009,4,26,26.84,123.77,17.8,420,,,,,,,,,,,3,2,2
15755,2009,4,26,26.77,123.82,17,240,100,,,,,,,,,,4,3,3
15756,2009,4,27,25.16,121.78,,0,,,,,,,150,,,,2,1,1
15757,2009,4,27,25.5,121.82,25.4,150,,,42,,,,,,,,3,2,1
15758,2009,4,27,25.07,121.97,,9,,,,,,,,,,,3,1,1
15759,2009,4,27,26.93,122.8,20,150,,,,,,,,,,,4,2,3
15760,2009,4,27,26.35,122.9,23.2,306,,,,,,,,,,,3,2,2
15761,2009,4,27,26.53,123.08,22,210,,,,,,,,,,,4,2,3
15762,2009,4,27,26.33,123.17,26.1,210,,,,,,,,,,,3,2,2
15763,2009,4,27,26.27,123.62,,1800,,,,,,,,,,,4,4,4
15764,2009,4,27,26.84,123.68,22.1,1200,,,,,,,,,,,5,4,3
15765,2009,4,27,26.9,123.74,18.4,90,,,,,,,,,,,3,2,2
15766,2009,4,27,26.76,123.74,21.4,480,,,,,,,,,,,4,2,3
15767,2009,4,27,26.72,123.83,18,240,50,,,,,,,,,,4,3,3
15768,2009,4,27,27.47,124.8,22,1800,,,,,,,,,,,5,4,4
15769,2009,4,28,25.16,121.78,,0,,,,,,,90,,,,2,1,1
15771,2009,4,28,26.55,122.58,20,80,,,,,,,,,,,4,2,3
15772,2009,4,28,26.67,123.25,26.2,60,,,,,,,,,,,3,2,2
15773,2009,4,28,26.27,123.6,,1800,,,,,,,,,,,4,4,4
15774,2009,4,28,26.73,123.65,19,210,,,,,,,,,,,3,2,2
15775,2009,4,28,26.67,123.67,18,90,,,,,,,,,,,4,3,3
15776,2009,4,28,26.83,123.7,22.3,480,,,,,,,,,,,5,4,3
15777,2009,4,28,26.74,123.7,21,300,5,,,,,,,,,,4,2,3
15778,2009,4,28,26.77,123.77,20,300,,,,,,,,,,,3,2,2
15779,2009,4,28,26.72,123.83,20.8,420,,,,,,,,,,,4,2,3
15780,2009,4,28,27.43,124.78,22,1500,,,,,,,,,,,5,4,4
15781,2009,4,29,26.15,123.17,26.7,144,,,,,,,,,,,3,2,2
15782,2009,4,29,27.39,123.52,20.8,480,150,,,,,,,,,,4,2,3
15783,2009,4,29,26.55,123.57,20.1,300,,,,,,,,,,,5,4,3
15784,2009,4,29,26.25,123.58,,1380,,,,,,,,,,,4,4,4
15785,2009,4,29,26.74,123.69,20.8,300,,,,,,,,,,,3,2,2
15786,2009,4,29,26.72,123.8,20.5,240,,,,,,,,,,,4,2,3
15787,2009,4,29,26.65,124.15,19.2,540,,,,,,,,,,,3,2,2
15788,2009,4,29,27.28,124.55,18,180,,,,,,,,,,,4,3,3
15789,2009,4,29,27.45,124.77,22,300,,,,,,,,,,,5,4,4
15791,2009,4,30,25.14,121.82,,0,,,,,,,24,,,,2,1,1
15792,2009,4,30,26.15,123.25,26.8,60,,,,,,,,,,,3,2,2
15793,2009,4,30,26.23,123.57,,6600,,,,,,,,,,,4,4,4
15794,2009,4,30,26.7,123.67,21,180,,,,,,,,,,,4,2,3
15795,2009,4,30,26.83,123.74,18.9,180,,,,,,,,,,,3,2,2
15796,2009,4,30,26.92,123.92,20,108,70,,,,,,,,,,4,2,3
15797,2009,4,30,26.6,124,20.7,51,,,,,,,,,,,3,2,2
15798,2009,4,30,26.68,124.14,20.2,600,,,,,,,,,,,5,4,3
15799,2009,4,30,27.48,124.72,18,180,,,,,,,,,,,4,3,3
15800,2009,4,30,27.49,124.79,21.7,360,,,,,,,,,,,4,2,3
15801,2009,4,30,27.53,124.82,23,90,,,,,,,,,,,5,4,4
15802,2009,5,1,25.15,121.82,,24,,,,,,,,,,,2,1,1
15803,2009,5,1,25.14,121.82,,0,,,,,,,21,,,,2,1,1
15804,2009,5,1,26.38,123.05,23.4,54,,,,,,,,,,,3,2,2
15805,2009,5,1,26.8,123.07,22.5,360,,,200,,,,,,,,4,2,3
15806,2009,5,1,26.41,123.21,23.8,420,,,,,,,,,,,5,4,3
15807,2009,5,1,26.5,123.5,27,210,,,,,,,,,,,3,2,2
15808,2009,5,1,26.25,123.6,,420,,,,,,,,,,,4,4,4
15809,2009,5,1,26.2,123.62,22,420,,,,,,,,,,,5,4,4
15810,2009,5,1,26.25,123.69,24.1,180,,,,,,,,,,,3,2,2
15811,2009,5,1,26.8,123.71,21.8,300,30,,,,50,,,,,,4,2,3
15812,2009,5,1,26.75,123.73,21,200,,,,,,,,,,,4,2,3
15813,2009,5,2,25.14,121.82,,0,,,,,,,36,,,,2,1,1
15814,2009,5,2,26.47,122.75,26.9,270,,,,,,,,,,,3,2,2
15815,2009,5,2,26.95,123.1,22.5,60,,,,,,,,,,,4,2,3
15816,2009,5,2,26.5,123.48,22.6,18,,,,,,,,,,,3,2,2
15817,2009,5,2,26.37,123.54,24.4,90,,,,,,,,,,,3,2,2
15818,2009,5,2,26.38,123.58,,1080,,,,,,,,,,,4,4,4
15819,2009,5,2,26.46,123.63,24.1,480,,,,,,,,,,,5,4,3
15820,2009,5,2,26.82,123.69,21.8,120,,,,,,,,,,,4,2,3
15821,2009,5,2,26.3,123.72,23,900,,,,,,,,,,,5,4,4
15822,2009,5,2,26.77,123.85,21,100,,,,,,,,,,,4,2,3
15823,2009,5,3,25.39,121.6,27.2,270,,,12,,,,,,,,3,2,1
15824,2009,5,3,25.14,121.82,,0,,,,,,,27,,,,2,1,1
15825,2009,5,3,25.05,121.93,,,,,,,,,,,,,2,1,1
15827,2009,5,3,26.03,122.33,23.9,6,,,,,,,,,,,3,2,2
15828,2009,5,3,26.83,122.83,22.5,420,,,300,,,,,,,,4,2,3
15829,2009,5,3,26.75,122.98,27.1,240,,,,,,,,,,,3,2,2
15830,2009,5,3,26.26,123.37,24.5,180,,,,,,,,,,,3,2,2
15831,2009,5,3,26.42,123.63,,1200,,,,,,,,,,,4,4,4
15832,2009,5,3,26.39,123.69,24.2,120,,,,,,,,,,,5,4,3
15833,2009,5,3,26.33,123.73,23,330,,,,,,,,,,,5,4,4
15834,2009,5,3,26.83,123.75,21,80,,,,,,,,,,,4,2,3
15835,2009,5,4,25.43,121.57,28,72,,,,,600,,,,,,3,2,1
15836,2009,5,4,26.75,122.08,27.1,210,,,,,,,,,,,3,2,2
15837,2009,5,4,26.2,123.48,23,36,,,,,,,,,,,5,4,4
